pageid,title
555483,Vitali Klitschko
9853935,Vadym Gutzeit
10731542,Andriy Shevchenko (politician)
10782616,Andriy Sadovyi
42080260,Andrii Deshchytsia
44787979,Andriy Melnyk (diplomat)
44904232,Sergiy Korsunsky
45150061,Vadym Prystaiko
47953111,Oleksii Reznikov
49041900,Natalia Galibarenko
57636626,Oksana Markarova
59210523,Volodymyr Zelenskyy
59322255,Oleksandr Tkachenko (journalist)
60591137,Olena Zelenska
61317975,Ruslan Stefanchuk
61613606,Mykhailo Fedorov
61647304,Dmytro Kuleba
61665305,Denys Maliuska
61958255,Oleksiy Danilov
62304722,Serhiy Haidai
62634829,Sergiy Kyslytsya
62850307,Denys Shmyhal
62911398,Oleksiy Chernyshov
63086056,Andrii Yermak
63661641,Serhiy Marchenko
63662130,Oleh Nemchinov
63901243,Mikhail Razvozhayev
64186699,Olha Stefanishyna
64392333,Serhiy Shkarlet
64393946,Pavlo Kukhta
64520120,Iryna Vereshchuk
64566885,Kyrylo Shevchenko
67662754,Vitaliy Kim
67715367,Viktor Liashko
67716590,Oleksandr Kubrakov
68250098,Denys Monastyrsky
69191807,Yulia Svyrydenko
69433462,Svitlana Onyshchuk
69821475,Valerii Zaluzhnyi
70060132,Serhiy Shaptala
70207144,Maksym Marchenko
70287575,Ivan Fedorov (politician)
70432581,Vyacheslav Chaus
70594843,Yulia Laputina
70874358,Tamila Tasheva
71293657,Roman Mashovets
71318806,Oleksiy Symonenko
71354185,Oksana Zholnovych
